,Date,Favorite,UnderDog,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,Season,home_team,away_team,home_fav,date_match,home_abbr,away_abbr
0,"September 8, 2016 8:30 PM",Panthers,at Broncos,-3.0,41.0,-165,145,2016,Broncos,Panthers,False,2016-09-08,DEN,CAR
1,"September 11, 2016 1:00 PM",at Texans,Bears,-6.0,42.5,220,-260,2016,Texans,Bears,True,2016-09-11,HOU,CHI
2,"September 11, 2016 1:00 PM",Bengals,at Jets,-3.0,42.0,-115,-105,2016,Jets,Bengals,False,2016-09-11,NYJ,CIN
3,"September 11, 2016 1:00 PM",at Eagles,Browns,-4.0,41.5,165,-190,2016,Eagles,Browns,True,2016-09-11,PHI,CLE
4,"September 11, 2016 1:00 PM",Packers,at Jaguars,-6.0,48.0,-210,175,2016,Jaguars,Packers,False,2016-09-11,JAX,GB
5,"September 11, 2016 1:00 PM",at Chiefs,Chargers,-7.0,46.0,240,-280,2016,Chiefs,Chargers,True,2016-09-11,KC,LAC
6,"September 11, 2016 1:00 PM",at Saints,Raiders,-3.0,51.0,130,-150,2016,Saints,Raiders,True,2016-09-11,NO,LV
7,"September 11, 2016 1:00 PM",Vikings,at Titans,-3.0,40.5,-145,125,2016,Titans,Vikings,False,2016-09-11,TEN,MIN
8,"September 11, 2016 1:00 PM",at Ravens,Bills,-3.0,45.0,130,-150,2016,Ravens,Bills,True,2016-09-11,BAL,BUF
9,"September 11, 2016 1:00 PM",at Falcons,Buccaneers,-3.0,47.0,115,-135,2016,Falcons,Buccaneers,True,2016-09-11,ATL,TB
10,"September 11, 2016 4:05 PM",at Seahawks,Dolphins,-10.5,43.5,375,-500,2016,Seahawks,Dolphins,True,2016-09-11,SEA,MIA
11,"September 11, 2016 4:25 PM",at Colts,Lions,-3.0,51.5,130,-150,2016,Colts,Lions,True,2016-09-11,IND,DET
12,"September 11, 2016 4:25 PM",Giants,at Cowboys,-1.5,48.0,-120,100,2016,Cowboys,Giants,False,2016-09-11,DAL,NYG
13,"September 11, 2016 8:30 PM",at Cardinals,Patriots,-9.0,45.0,300,-400,2016,Cardinals,Patriots,True,2016-09-11,ARI,NE
14,"September 12, 2016 7:10 PM",Steelers,at Commanders,-3.0,50.0,-155,135,2016,Commanders,Steelers,False,2016-09-12,WAS,PIT
15,"September 12, 2016 10:20 PM",Rams,at 49ers,-3.0,42.5,-145,125,2016,49ers,Rams,False,2016-09-12,SF,LAR
16,"November 10, 2016 8:25 PM",at Ravens,Browns,-7.5,44.0,290,-350,2016,Ravens,Browns,True,2016-11-10,BAL,CLE
17,"November 13, 2016 1:00 PM",at Eagles,Falcons,-1.0,49.0,106,-125,2016,Eagles,Falcons,True,2016-11-13,PHI,ATL
18,"November 13, 2016 1:00 PM",Bears,at Buccaneers,-2.5,45.0,-140,120,2016,Buccaneers,Bears,False,2016-11-13,TB,CHI
